Country/Region,flag,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20
Romania,https://www.countryflags.io/RO/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,5,8,6,12,12,22,39,43,82,114,122,149,168,241,252,283,315,366,505,704,803,912,1151,1276,1566,1835,1943,2116,2356,2767,3138,3339,3475,3760,4013,4307,4468,4941,5132,5388,5477,5627,5958,6148,6267,6403,6441,6591,6780,7073,7033,7144,7363,7557,7549,7716,7506,7495,7414,7504,7425,7542,7455,7467,7465,7280,7350,7361,7091,7005,6141,5997,6036
Russia,https://www.countryflags.io/RU/shiny/64.png,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,11,11,14,14,17,17,25,42,51,55,82,106,139,189,243,293,350,421,472,626,799,987,1211,1462,1761,2199,2563,3283,3834,4355,4989,5890,6945,8029,9357,11028,12433,14349,16710,19238,22306,25402,29145,33423,39201,43270,48434,53066,57327,62439,67657,73435,79007,84235,88141,93806,100042,107819,116768,125817,134054,143065,151732,159528,164933,173467,179534,186615,192056,196410,202199,206340
Rwanda,https://www.countryflags.io/RW/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,8,8,17,17,19,36,40,41,50,54,60,70,70,75,82,84,89,102,100,101,98,103,103,111,102,101,85,85,82,78,78,75,71,71,66,69,67,89,95,99,114,117,127,139,140,135,135,133,132,138,138,137,140,144,135,133,123,119,110,111
Saint Kitts and Nevis,https://www.countryflags.io/KN/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,7,8,8,9,9,9,10,10,11,11,11,12,12,12,12,14,14,14,14,14,14,15,15,14,14,13,13,13,13,11,11,9,7,7,7,7,3,3,3,2,1,1,1,1,1,1,1,1
Saint Lucia,https://www.countryflags.io/LC/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3,3,3,3,2,2,8,8,12,12,12,12,13,13,13,13,13,13,14,14,11,11,4,4,4,4,4,4,2,2,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,1,1,1,1,1,1,0,0,0,0
Saint Vincent and the Grenadines,https://www.countryflags.io/VC/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,2,6,6,6,7,7,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,9,9,9,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,3,3
San Marino,https://www.countryflags.io/SM/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,9,15,20,20,22,35,35,49,60,66,75,71,92,98,98,104,104,126,120,151,163,162,183,183,198,196,196,192,197,197,194,194,200,199,199,205,205,250,260,268,268,268,282,283,333,339,356,362,362,374,386,398,409,409,433,433,448,453,450,457,456,455,455,456,470,475,468,470,461,457,436,441,435,422,414
Sao Tome and Principe,https://www.countryflags.io/ST/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,11,11,11,16,167,167,179,199,199,199,199,199,210,224,224,224
Saudi Arabia,https://www.countryflags.io/SA/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,11,15,19,20,44,85,102,102,116,165,165,268,336,376,495,546,738,869,976,1066,1162,1225,1330,1388,1440,1536,1663,1730,1880,2016,2139,2260,2577,2919,3261,3642,4064,4407,4852,5307,6006,6853,7867,8891,9882,10846,11884,12926,13948,15026,16136,17141,18292,19428,20373,21518,22693,23989,24620,24946,25714,26083,26753,27345,28022,27404,26935,27535,27015,28048
Senegal,https://www.countryflags.io/SN/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,4,3,3,3,3,3,9,9,23,22,24,29,29,36,42,62,74,78,90,96,108,112,115,135,135,144,139,140,145,138,132,130,129,125,126,124,107,111,114,122,139,142,136,144,137,165,183,216,276,331,379,443,518,558,590,659,738,801,846,848,928,917,927,974,1040,1152,1234,1302,1324,1395,1455
Serbia,https://www.countryflags.io/RS/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,12,19,35,46,48,54,64,82,102,133,169,219,245,285,365,383,456,649,728,769,884,1032,1140,1437,1580,1857,2142,2386,2601,2801,3034,3306,3550,3969,4371,4774,5215,5046,5240,5443,5635,5783,5985,6070,6245,6476,6704,6904,7069,7259,7487,7487,7747,7720,7786,7754,7617,7482,7281,7085,7085,6668,6423,6249,6066,5912,5789
Seychelles,https://www.countryflags.io/SC/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,6,7,7,7,7,7,7,7,7,8,8,8,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1
Sierra Leone,https://www.countryflags.io/SL/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,6,6,6,7,7,8,8,10,10,11,13,15,26,30,29,37,44,55,53,70,70,79,79,88,88,96,108,126,129,132,145,157,161,186,215,222,247,247,264,285,323,327
Singapore,https://www.countryflags.io/SG/shiny/64.png,0,1,3,3,4,5,7,7,10,13,16,18,18,24,28,28,30,31,38,43,38,35,43,50,54,57,53,52,50,50,48,48,38,38,38,31,31,31,30,34,30,32,32,39,52,60,72,72,82,82,82,103,107,121,134,152,199,231,261,290,309,363,400,469,509,547,602,629,648,683,752,779,827,886,983,1025,1098,1211,1444,1609,1763,1964,2323,2631,3037,3734,4331,5241,5809,7202,8275,9233,10242,11107,11679,12552,13314,13809,14439,14910,15817,16184,16779,17303,17873,18544,19207,19647,20144,20595,20576,20799,20516,20104,19622,18992
Slovakia,https://www.countryflags.io/SK/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,7,10,16,32,44,54,63,72,104,122,136,177,178,179,197,209,224,267,290,312,329,360,396,420,439,460,474,524,566,664,676,690,703,717,660,720,706,802,865,865,920,909,927,946,1022,988,970,967,960,941,885,849,822,775,765,745,655,642,613,524,510,490,472,455,382,338,322,314
Slovenia,https://www.countryflags.io/SI/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,16,16,31,57,89,141,180,218,252,274,274,285,340,382,412,439,476,513,546,613,665,709,735,777,816,810,844,876,890,889,921,931,953,978,990,1002,1005,1012,1022,1033,1064,1057,1064,1065,1070,1069,1076,1082,1088,1093,1098,1099,1099,1105,1109,1106,1102,1101,1103,1103,1103,1098,1098,1099,1102,1100,1100,1094,1092,1090
Somalia,https://www.countryflags.io/SO/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,4,4,4,6,6,6,6,7,10,10,19,19,22,56,56,73,73,108,126,154,225,274,274,304,304,364,403,444,481,534,542,542,606,646,660,722,747,778,778,839,885,916,992,1037,1096,1096,1154
South Africa,https://www.countryflags.io/ZA/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,7,13,17,24,38,51,62,62,116,150,202,240,274,402,550,697,915,1138,1155,1247,1292,1317,1325,1407,1401,1481,1549,1579,1641,1732,1821,1569,1593,1738,1835,1978,2062,1654,1830,2079,2201,2187,2352,2515,2405,2668,2802,2986,3230,2830,3174,3471,3453,3664,4103,4336,4678,4502,4918,5564,5251,5648,6089,6787,7110,6825,7194,7616
South Sudan,https://www.countryflags.io/SS/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,34,34,35,45,45,46,46,52,58,74,118,118,118,154,192,201,200,228,228
Spain,https://www.countryflags.io/ES/shiny/64.png,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,4,11,13,30,43,82,118,162,218,254,393,460,626,1013,1628,2040,2039,4906,5679,6992,9070,10187,12206,16026,17779,21874,24421,30250,33283,40501,46406,51224,54968,58598,63460,68200,72084,74974,77488,80002,80925,82897,84689,85407,85610,86524,87312,87231,87616,86981,88083,90836,96040,96886,100864,98771,100382,100757,101617,88111,87295,86072,85069,84403,79695,76842,78623,74234,73300,71240,70230,68466,66866,65410,63148,61563,63553,62130,60764,58845,57941,56689
Sri Lanka,https://www.countryflags.io/LK/shiny/64.png,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,9,17,27,43,50,57,70,76,79,94,100,99,99,99,103,105,105,124,122,126,131,134,138,135,137,138,134,129,137,147,154,165,168,163,160,161,168,199,201,218,254,304,335,396,455,478,506,502,521,526,527,549,549,573,583,586,578,533,517,514,524,471,449,431
Sudan,https://www.countryflags.io/SD/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,4,5,4,4,3,4,6,6,8,8,10,10,11,13,15,15,21,23,23,23,23,50,50,87,87,115,144,144,177,196,232,262,315,372,451,499,499,576,663,723,786,950,981,1146,1290,1408,1530,1530,1668,1970
Suriname,https://www.countryflags.io/SR/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4,5,5,7,8,8,8,8,8,8,9,10,10,9,9,9,9,9,6,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,https://www.countryflags.io/SE/shiny/64.png,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,7,12,14,15,21,35,94,101,161,203,247,354,498,597,812,958,1018,1096,1182,1268,1412,1607,1727,1897,2005,2234,2448,2747,2948,3326,3574,3866,4239,4605,5157,5568,5865,6224,6524,6897,7527,8143,8434,8883,9203,9648,10031,10343,10657,11266,11761,12295,12647,13007,13517,14184,14410,14980,15441,15647,16261,16835,17501,17862,18408,18633,15878,16288,16903,16612,17119,17730,18126,18443,18988,19478,20082,20590,21032
Switzerland,https://www.countryflags.io/CH/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,8,18,27,42,54,87,110,210,264,332,369,485,644,644,1124,1342,2182,2182,2669,2985,4019,5225,6485,7245,8544,9624,10613,11489,11167,12282,12934,13740,14349,14313,14278,14169,13424,13970,12836,12728,12585,12503,12449,11971,11609,10850,11062,9697,9551,9351,8936,8547,7915,7185,6859,6347,6088,5995,5651,5299,4965,5091,4449,4051,3855,3643,2997,2814,2555,2416,2284,2021,1872,1699,1713,1443,1491,1536,1293
Syria,https://www.countryflags.io/SY/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,5,8,8,8,8,14,14,12,15,15,14,13,13,13,18,18,18,22,26,26,31,31,31,31,33,33,33,33,28,26,21,19,19,19,14,14,14,14,14,15,15,15,15,15,15,15,16,16,11,12
Taiwan*,None,1,1,3,3,4,5,8,8,9,10,10,10,10,11,11,15,15,16,17,17,17,17,17,16,16,17,19,19,20,21,23,23,25,24,25,26,26,27,29,30,28,29,29,31,32,32,31,29,29,30,28,29,32,38,46,54,77,81,107,123,139,165,184,204,221,236,251,266,262,278,285,289,293,300,308,311,314,313,308,285,280,273,278,263,265,234,223,214,225,213,202,184,168,158,148,142,133,116,112,101,99,102,98,98,98,94,87,79,73,68,65,61,58,50,46,44
Tajikistan,https://www.countryflags.io/TJ/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,74,126,227,288,371,449,510,592,592,640,708,778,878,1085,1286
Tanzania,https://www.countryflags.io/TZ/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,6,6,12,12,12,12,13,12,13,13,18,17,18,17,16,16,18,20,18,19,19,24,24,24,39,43,73,79,131,131,152,233,233,263,263,241,241,241,241,241,297,297,297,297,297,297,297,297,297,305,305,305,305,305,305,305,305,305
Thailand,https://www.countryflags.io/TH/shiny/64.png,2,3,5,7,6,6,9,9,9,14,14,14,14,20,20,20,20,22,22,22,23,23,21,21,21,20,20,20,20,20,18,18,14,14,15,18,18,13,14,13,11,11,11,15,16,18,18,18,19,24,35,39,46,78,111,135,169,229,279,368,554,676,771,860,953,1034,1142,1284,1286,1299,1254,1355,1347,1373,1353,1401,1343,1451,1451,1427,1348,1295,1251,1167,1103,1033,964,899,790,746,655,425,359,309,309,277,270,232,228,216,187,180,176,193,187,173,165,161,161,159,163,163,117,112,115,114
Timor-Leste,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,7,17,17,17,18,21,22,22,22,22,22,22,22,18,18,8,8,8,8,4,4,4,3,3,3,3,3,3,3,3,0,0
Togo,https://www.countryflags.io/TG/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,15,15,17,19,22,22,23,23,23,28,23,24,20,20,21,21,32,39,44,46,48,48,44,45,42,43,31,30,30,27,25,24,26,23,25,28,30,30,30,38,42,48,48,48,43,45,42,41,50,56,74,81,96,112,131,156,188
Trinidad and Tobago,https://www.countryflags.io/TT/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,7,9,9,48,49,50,57,59,64,63,70,74,78,83,84,88,91,96,96,96,98,98,100,100,92,89,89,88,87,86,86,85,85,84,79,70,59,59,54,53,49,49,37,36,25,20,15,9,5,5,5,5,4,1,1,1,1,1,1,1
Tunisia,https://www.countryflags.io/TN/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,5,7,7,16,18,18,20,24,29,38,53,59,71,85,109,166,189,219,268,302,301,381,406,436,472,530,547,569,575,579,593,621,614,633,649,670,702,742,784,784,798,698,698,681,690,690,694,695,649,656,646,648,641,644,643,569,497,391,382,347,327,287,260,247,228,217,188,185
Turkey,https://www.countryflags.io/TR/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,6,18,46,97,189,355,661,1206,1492,1828,2348,3528,5564,7224,8981,10497,13074,15069,17364,20012,22647,25453,28242,31802,35568,39232,43600,48101,52312,55796,58909,62200,65461,68146,69986,72313,75410,78414,79821,80808,80575,79485,78185,75570,72852,70468,68144,65326,62780,59497,56032,52686,49958,47096,45484,43896,42180,40150,38692,37447,36712,36269,35834
US,None,1,1,2,2,5,5,5,5,5,7,8,8,11,11,11,11,11,11,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,46,45,51,52,53,60,66,85,104,131,198,241,378,490,554,923,1237,1610,2118,2657,3414,4516,6271,7514,13368,18777,24982,32512,42879,52380,64101,81429,98523,117662,134824,151995,175781,198267,226700,256414,283143,306979,332842,359167,386825,417115,445412,470784,496239,509267,529645,551520,578062,603750,627604,647527,669338,691575,715573,739243,754786,784027,803916,820554,838291,858222,852481,874503,890788,910206,924273,943496,965966,986325,1007756,1018221,1033565,1034466,1056733,1062857,1085462,1104547,1110690
Uganda,https://www.countryflags.io/UG/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,9,14,14,23,30,33,33,44,44,45,48,48,52,52,52,53,53,53,49,50,47,47,43,35,36,33,27,18,23,18,28,29,29,33,32,27,29,31,33,36,37,42,43,45,46,46,61,66,66,74,84,97,140,164
Ukraine,https://www.countryflags.io/UA/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,6,12,12,14,26,43,69,69,93,139,190,300,342,459,527,618,761,856,1023,1168,1243,1253,1389,1581,1790,2073,2359,2605,2912,3155,3513,3859,4291,4698,4961,5200,5597,5994,6479,6664,7142,7568,7925,8179,8513,8907,9176,9634,10077,10409,10506,10760,10955,11128,11425,11781,11952,12225,12270,12248,12381,12455
United Arab Emirates,https://www.countryflags.io/AE/shiny/64.png,0,0,0,0,0,0,0,4,4,4,4,5,5,5,5,5,5,7,7,8,8,7,7,7,5,5,5,5,5,5,5,9,9,9,9,9,9,14,16,16,16,22,22,24,24,38,38,38,62,57,68,68,68,75,75,75,87,109,107,113,113,158,201,279,279,351,414,509,545,597,745,920,1147,1370,1645,1898,2161,2408,2708,2926,3128,3421,3644,3972,4298,4695,5077,5077,5454,5862,6266,6640,7063,7457,7855,8295,8667,9110,9502,9947,10384,10816,11274,11627,11893,12222,12503,12782,12937,13196,13296,13446,13657,13946,14293,14482
United Kingdom,https://www.countryflags.io/GB/shiny/64.png,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,8,8,8,8,8,8,1,1,1,1,1,1,1,1,5,5,5,7,12,15,28,32,43,78,108,155,187,254,301,358,433,431,773,1097,1083,1464,1825,2459,2490,3752,4749,5392,6299,7515,8805,10783,13431,15704,17957,20236,22873,26586,30229,34014,37034,42333,45547,48141,52610,55890,63241,67636,72278,76219,80427,84174,87796,92465,96872,102209,106318,109270,112844,116694,121063,125098,129142,133083,136168,139418,144780,150210,154399,158421,162113,165816,171275,176318,180316,183862,187517,191176,193949,196689,199704,202879,205857
Uruguay,https://www.countryflags.io/UY/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,29,50,79,94,110,135,158,162,189,217,238,274,302,308,319,296,286,297,296,302,296,286,267,257,260,273,270,242,227,224,212,207,205,210,220,212,207,200,191,182,212,216,219,216,203,209,196,195,196,193,185,170,175,170,171,171,169,166,155,158,160,156
Uzbekistan,https://www.countryflags.io/UZ/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,10,15,23,33,43,43,46,50,60,75,82,97,135,140,163,167,178,200,239,310,425,488,512,541,579,721,795,909,1062,1191,1216,1245,1291,1335,1361,1315,1259,1190,1175,1147,1072,1004,939,897,897,865,838,820,774,696,646,632,540,493,527,488,499,525,498,517,514
Venezuela,https://www.countryflags.io/VE/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,17,33,36,42,42,70,55,62,69,76,92,75,78,78,93,93,99,98,94,96,100,93,93,93,78,78,73,79,70,70,77,84,84,105,130,130,158,156,175,176,181,178,177,177,179,175,177,187,189,189,193,193,186,188,202,211,207,193,193,225,220,253
Vietnam,https://www.countryflags.io/VN/shiny/64.png,0,2,2,2,2,2,2,2,2,2,5,5,7,7,7,9,9,12,12,13,9,9,9,9,9,9,9,9,9,9,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,14,14,15,22,23,31,37,40,45,50,59,69,75,77,96,106,117,124,133,143,153,163,148,154,155,158,152,150,151,150,126,125,127,113,114,118,119,97,96,91,70,67,66,54,52,45,44,50,45,45,45,48,48,51,51,51,52,52,39,39,55,47,47,47,39,36,36,52,54,58
West Bank and Gaza,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,16,16,19,26,30,30,31,35,38,38,39,41,44,30,31,35,42,42,42,66,73,79,90,97,100,115,142,172,195,211,229,218,218,218,220,209,211,213,220,226,229,236,242,246,256,256,262,260,257,257,257,257,270,271,266,275,275,274,258,242,198,197,145,145,110,72,65,63,63,58,45
Western Sahara,https://www.countryflags.io/EH/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Yemen,https://www.countryflags.io/YE/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,5,3,4,7,7,9,17,19,19,26,26,42,46,54,57,72,90,103
Zambia,https://www.countryflags.io/ZM/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,12,16,22,28,29,35,35,36,38,36,36,35,33,31,31,14,13,10,11,13,13,16,16,20,22,25,27,32,36,36,44,44,43,43,50,40,48,32,41,43,56,43,41,46,52,133,143,143,317,315,523,523,489
Zimbabwe,https://www.countryflags.io/ZW/shiny/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,2,2,2,4,6,6,6,7,7,8,8,8,8,9,9,8,8,10,11,11,14,14,19,19,19,20,20,20,23,22,22,23,25,25,23,23,23,31,31,25,25,25,25,25,25,21,22,23,23,23,21,20,25,25
